gene,embryo,channel,source_type,sigma_dog,threshold_dog,min_intensity,max_intensity,final_detections,full_path
Blimp1,Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03,CH1_633nm,combined_file,1.5,0.007506,0.0,6137.0,1902,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03_RSFISH_LOG.txt
Blimp1,Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03,CH2_555nm,combined_file,1.5,0.007551,0.0,17091.0,2857,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03_RSFISH_LOG.txt
Blimp1,Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03,CH3_488nm,combined_file,1.5,0.02012,0.0,11317.0,326,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_3_HR-Airyscan Processing-372-Channel Alignment (Extended)-03_RSFISH_LOG.txt
Blimp1,Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04,CH1_633nm,combined_file,1.5,0.007506,0.0,6565.0,4877,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04_RSFISH_LOG.txt
Blimp1,Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04,CH2_555nm,combined_file,1.5,0.007551,0.0,21843.0,3750,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04_RSFISH_LOG.txt
Blimp1,Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04,CH3_488nm,combined_file,1.5,0.02012,0.0,7300.0,2201,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_4_HR-Airyscan Processing-373-Channel Alignment (Extended)-04_RSFISH_LOG.txt
Blimp1,Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379,CH1_633nm,combined_file,1.5,0.007506,0.0,8247.0,3367,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379_RSFISH_LOG.txt
Blimp1,Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379,CH2_555nm,combined_file,1.5,0.007551,0.0,39736.0,3797,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379_RSFISH_LOG.txt
Blimp1,Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379,CH3_488nm,combined_file,1.5,0.02012,0.0,9266.0,2233,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_5_HL-Airyscan Processing-374-Channel Alignment (Extended)-379_RSFISH_LOG.txt
Blimp1,Blimp1_6_HB-Airyscan Processing-375-Channel Alignment (Extended)-380,CH1_633nm,combined_file,1.5,0.007506,0.0,7355.0,3344,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_6_HB-Airyscan Processing-375-Channel Alignment (Extended)-380_RSFISH_LOG.txt
